OpenROAD 4174c3ad802d2ac1d04d387d2c4b883903f6647e 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ODB-0222] Reading LEF file: /local_disk/fossi_cochlea/openlane/user_project_wrapper/runs/22_09_12_16_44/tmp/merged.nom.lef
[WARNING ODB-0220] WARNING (LEFPARS-2036): SOURCE statement is obsolete in version 5.6 and later.
The LEF parser will ignore this statement.
To avoid this warning in the future, remove this statement from the LEF file with version 5.6 or later. See file /local_disk/fossi_cochlea/openlane/user_project_wrapper/runs/22_09_12_16_44/tmp/merged.nom.lef at line 68342.

[INFO ODB-0223]     Created 13 technology layers
[INFO ODB-0224]     Created 25 technology vias
[INFO ODB-0225]     Created 442 library cells
[INFO ODB-0226] Finished LEF file:  /local_disk/fossi_cochlea/openlane/user_project_wrapper/runs/22_09_12_16_44/tmp/merged.nom.lef
[INFO ODB-0127] Reading DEF file: /local_disk/fossi_cochlea/openlane/user_project_wrapper/runs/22_09_12_16_44/results/routing/user_project_wrapper.def
[INFO ODB-0128] Design: user_project_wrapper
[INFO ODB-0094] 		Created 100000 Insts
[INFO ODB-0130]     Created 645 pins.
[INFO ODB-0131]     Created 125746 components and 258510 component-terminals.
[INFO ODB-0132]     Created 8 special nets and 257880 connections.
[INFO ODB-0133]     Created 637 nets and 42 connections.
[INFO ODB-0134] Finished DEF file: /local_disk/fossi_cochlea/openlane/user_project_wrapper/runs/22_09_12_16_44/results/routing/user_project_wrapper.def
[INFO]: Setting RC values...
[INFO PSM-0002] Output voltage file is specified as: /local_disk/fossi_cochlea/openlane/user_project_wrapper/runs/22_09_12_16_44/reports/signoff/27-irdrop.rpt.
[WARNING PSM-0016] Voltage pad location (VSRC) file not specified, defaulting pad location to checkerboard pattern on core area.
[WARNING PSM-0017] X direction bump pitch is not specified, defaulting to 140um.
[WARNING PSM-0018] Y direction bump pitch is not specified, defaulting to 140um.
[WARNING PSM-0019] Voltage on net vccd1 is not explicitly set.
[WARNING PSM-0022] Using voltage 1.800V for VDD network.
[WARNING PSM-0065] VSRC location not specified, using default checkerboard pattern with one VDD every size bumps in x-direction and one in two bumps in the y-direction
[INFO PSM-0076] Setting metal node density to be standard cell height times 5.
[WARNING PSM-0030] VSRC location at (129.810um, 149.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (190.520um, 195.880um).
[WARNING PSM-0030] VSRC location at (1249.810um, 1129.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1270.520um, 1275.880um).
[WARNING PSM-0030] VSRC location at (2089.810um, 1129.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2170.520um, 1275.880um).
[WARNING PSM-0030] VSRC location at (689.810um, 1269.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (730.520um, 1275.880um).
[WARNING PSM-0030] VSRC location at (1529.810um, 1269.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1450.520um, 1275.880um).
[WARNING PSM-0030] VSRC location at (2369.810um, 1269.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2350.520um, 1275.880um).
[WARNING PSM-0030] VSRC location at (129.810um, 1409.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (190.520um, 1455.880um).
[WARNING PSM-0030] VSRC location at (969.810um, 1409.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (910.520um, 1455.880um).
[WARNING PSM-0030] VSRC location at (1809.810um, 1409.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1810.520um, 1455.880um).
[WARNING PSM-0030] VSRC location at (2649.810um, 1409.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2710.520um, 1455.880um).
[WARNING PSM-0030] VSRC location at (409.810um, 1549.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (370.520um, 1635.880um).
[WARNING PSM-0030] VSRC location at (1249.810um, 1549.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1270.520um, 1455.880um).
[WARNING PSM-0030] VSRC location at (2089.810um, 1549.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2170.520um, 1455.880um).
[WARNING PSM-0030] VSRC location at (689.810um, 1689.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (730.520um, 1635.880um).
[WARNING PSM-0030] VSRC location at (1529.810um, 1689.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1460.000um, 1635.880um).
[WARNING PSM-0030] VSRC location at (2369.810um, 1689.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2350.520um, 1635.880um).
[WARNING PSM-0030] VSRC location at (129.810um, 1829.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (190.520um, 1815.880um).
[WARNING PSM-0030] VSRC location at (969.810um, 1829.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (910.520um, 1815.880um).
[WARNING PSM-0030] VSRC location at (1809.810um, 1829.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1810.520um, 1815.880um).
[WARNING PSM-0030] VSRC location at (2649.810um, 1829.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2710.520um, 1815.880um).
[WARNING PSM-0030] VSRC location at (409.810um, 1969.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (370.520um, 1995.880um).
[WARNING PSM-0030] VSRC location at (1249.810um, 1969.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1270.520um, 1995.880um).
[WARNING PSM-0030] VSRC location at (2089.810um, 1969.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2170.520um, 1995.880um).
[WARNING PSM-0030] VSRC location at (689.810um, 2109.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (730.520um, 2175.880um).
[WARNING PSM-0030] VSRC location at (1529.810um, 2109.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1460.000um, 2175.880um).
[WARNING PSM-0030] VSRC location at (2369.810um, 2109.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2350.520um, 2175.880um).
[WARNING PSM-0030] VSRC location at (129.810um, 2249.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (190.520um, 2175.880um).
[WARNING PSM-0030] VSRC location at (969.810um, 2249.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (910.520um, 2175.880um).
[WARNING PSM-0030] VSRC location at (1809.810um, 2249.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1810.520um, 2355.880um).
[WARNING PSM-0030] VSRC location at (2649.810um, 2249.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2710.520um, 2175.880um).
[WARNING PSM-0030] VSRC location at (409.810um, 2389.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (370.520um, 2355.880um).
[WARNING PSM-0030] VSRC location at (1249.810um, 2389.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1270.520um, 2355.880um).
[WARNING PSM-0030] VSRC location at (2089.810um, 2389.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2170.520um, 2355.880um).
[WARNING PSM-0030] VSRC location at (689.810um, 2529.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (730.520um, 2535.880um).
[WARNING PSM-0030] VSRC location at (1529.810um, 2529.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1450.520um, 2535.880um).
[WARNING PSM-0030] VSRC location at (2369.810um, 2529.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2350.520um, 2535.880um).
[WARNING PSM-0030] VSRC location at (129.810um, 2669.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (190.520um, 2715.880um).
[WARNING PSM-0030] VSRC location at (969.810um, 2669.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (910.520um, 2715.880um).
[WARNING PSM-0030] VSRC location at (1809.810um, 2669.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1810.520um, 2715.880um).
[WARNING PSM-0030] VSRC location at (2649.810um, 2669.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2710.520um, 2715.880um).
[WARNING PSM-0030] VSRC location at (409.810um, 2809.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (370.520um, 2895.880um).
[WARNING PSM-0030] VSRC location at (1249.810um, 2809.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1270.520um, 2895.880um).
[WARNING PSM-0030] VSRC location at (2089.810um, 2809.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2170.520um, 2895.880um).
[WARNING PSM-0030] VSRC location at (689.810um, 2949.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (730.520um, 2895.880um).
[WARNING PSM-0030] VSRC location at (1529.810um, 2949.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1450.520um, 2895.880um).
[WARNING PSM-0030] VSRC location at (2369.810um, 2949.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2350.520um, 2895.880um).
[WARNING PSM-0030] VSRC location at (129.810um, 3089.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (190.520um, 3075.880um).
[WARNING PSM-0030] VSRC location at (969.810um, 3089.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (910.520um, 3075.880um).
[WARNING PSM-0030] VSRC location at (1809.810um, 3089.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1810.520um, 3075.880um).
[WARNING PSM-0030] VSRC location at (2649.810um, 3089.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2710.520um, 3075.880um).
[WARNING PSM-0030] VSRC location at (409.810um, 3229.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (370.520um, 3255.880um).
[WARNING PSM-0030] VSRC location at (1249.810um, 3229.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1270.520um, 3255.880um).
[WARNING PSM-0030] VSRC location at (2089.810um, 3229.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2170.520um, 3255.880um).
[WARNING PSM-0030] VSRC location at (689.810um, 3369.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (730.520um, 3435.880um).
[WARNING PSM-0030] VSRC location at (1529.810um, 3369.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (1450.520um, 3435.880um).
[WARNING PSM-0030] VSRC location at (2369.810um, 3369.840um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (2350.520um, 3435.880um).
[INFO PSM-0031] Number of PDN nodes on net vccd1 = 963.
[WARNING PSM-0024] Instance PHY_1, current node at (2928100, 15880) at layer 5 have been moved from (2912720, 10880).
[WARNING PSM-0024] Instance PHY_100, current node at (10520, 15880) at layer 5 have been moved from (5520, 103360).
[WARNING PSM-0024] Instance PHY_1000, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1071680).
[WARNING PSM-0024] Instance PHY_1001, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1071680).
[WARNING PSM-0024] Instance PHY_1002, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1071680).
[WARNING PSM-0024] Instance PHY_1003, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1071680).
[WARNING PSM-0024] Instance PHY_1004, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1074400).
[WARNING PSM-0024] Instance PHY_1005, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1074400).
[WARNING PSM-0024] Instance PHY_1006, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1074400).
[WARNING PSM-0024] Instance PHY_1007, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1074400).
[WARNING PSM-0024] Instance PHY_1008, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1077120).
[WARNING PSM-0024] Instance PHY_1009, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1077120).
[WARNING PSM-0024] Instance PHY_101, current node at (550520, 15880) at layer 5 have been moved from (488520, 103360).
[WARNING PSM-0024] Instance PHY_1010, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1077120).
[WARNING PSM-0024] Instance PHY_1011, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1077120).
[WARNING PSM-0024] Instance PHY_1012, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1079840).
[WARNING PSM-0024] Instance PHY_1013, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1079840).
[WARNING PSM-0024] Instance PHY_1014, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1079840).
[WARNING PSM-0024] Instance PHY_1015, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1079840).
[WARNING PSM-0024] Instance PHY_1017, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1082560).
[WARNING PSM-0024] Instance PHY_1018, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1082560).
[WARNING PSM-0024] Instance PHY_1019, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1082560).
[WARNING PSM-0024] Instance PHY_102, current node at (2350520, 15880) at layer 5 have been moved from (2430180, 103360).
[WARNING PSM-0024] Instance PHY_1021, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1085280).
[WARNING PSM-0024] Instance PHY_1022, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1085280).
[WARNING PSM-0024] Instance PHY_1023, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1085280).
[WARNING PSM-0024] Instance PHY_1025, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1088000).
[WARNING PSM-0024] Instance PHY_1026, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1088000).
[WARNING PSM-0024] Instance PHY_1027, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1088000).
[WARNING PSM-0024] Instance PHY_1029, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1090720).
[WARNING PSM-0024] Instance PHY_103, current node at (2928100, 15880) at layer 5 have been moved from (2912720, 103360).
[WARNING PSM-0024] Instance PHY_1030, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1090720).
[WARNING PSM-0024] Instance PHY_1031, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1090720).
[WARNING PSM-0024] Instance PHY_1033, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1093440).
[WARNING PSM-0024] Instance PHY_1034, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1093440).
[WARNING PSM-0024] Instance PHY_1035, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1093440).
[WARNING PSM-0024] Instance PHY_1037, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1096160).
[WARNING PSM-0024] Instance PHY_1038, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1096160).
[WARNING PSM-0024] Instance PHY_1039, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1096160).
[WARNING PSM-0024] Instance PHY_104, current node at (10520, 195880) at layer 5 have been moved from (5520, 106080).
[WARNING PSM-0024] Instance PHY_1041, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1098880).
[WARNING PSM-0024] Instance PHY_1042, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1098880).
[WARNING PSM-0024] Instance PHY_1043, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1098880).
[WARNING PSM-0024] Instance PHY_1045, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1101600).
[WARNING PSM-0024] Instance PHY_1046, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1101600).
[WARNING PSM-0024] Instance PHY_1047, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1101600).
[WARNING PSM-0024] Instance PHY_1049, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1104320).
[WARNING PSM-0024] Instance PHY_105, current node at (550520, 195880) at layer 5 have been moved from (488520, 106080).
[WARNING PSM-0024] Instance PHY_1050, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1104320).
[WARNING PSM-0024] Instance PHY_1051, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1104320).
[WARNING PSM-0024] Instance PHY_1053, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1107040).
[WARNING PSM-0024] Instance PHY_1054, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1107040).
[WARNING PSM-0024] Instance PHY_1055, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1107040).
[WARNING PSM-0024] Instance PHY_1056, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1109760).
[WARNING PSM-0024] Instance PHY_1057, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1109760).
[WARNING PSM-0024] Instance PHY_1058, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1109760).
[WARNING PSM-0024] Instance PHY_1059, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1109760).
[WARNING PSM-0024] Instance PHY_106, current node at (2350520, 195880) at layer 5 have been moved from (2430180, 106080).
[WARNING PSM-0024] Instance PHY_1060, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1112480).
[WARNING PSM-0024] Instance PHY_1061, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1112480).
[WARNING PSM-0024] Instance PHY_1062, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1112480).
[WARNING PSM-0024] Instance PHY_1063, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1112480).
[WARNING PSM-0024] Instance PHY_1064, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1115200).
[WARNING PSM-0024] Instance PHY_1065, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1115200).
[WARNING PSM-0024] Instance PHY_1066, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1115200).
[WARNING PSM-0024] Instance PHY_1067, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1115200).
[WARNING PSM-0024] Instance PHY_1068, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1117920).
[WARNING PSM-0024] Instance PHY_1069, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1117920).
[WARNING PSM-0024] Instance PHY_107, current node at (2928100, 195880) at layer 5 have been moved from (2912720, 106080).
[WARNING PSM-0024] Instance PHY_1070, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1117920).
[WARNING PSM-0024] Instance PHY_1071, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1117920).
[WARNING PSM-0024] Instance PHY_1072, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1120640).
[WARNING PSM-0024] Instance PHY_1073, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1120640).
[WARNING PSM-0024] Instance PHY_1074, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1120640).
[WARNING PSM-0024] Instance PHY_1075, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1120640).
[WARNING PSM-0024] Instance PHY_1076, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1123360).
[WARNING PSM-0024] Instance PHY_1077, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1123360).
[WARNING PSM-0024] Instance PHY_1078, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1123360).
[WARNING PSM-0024] Instance PHY_1079, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1123360).
[WARNING PSM-0024] Instance PHY_108, current node at (10520, 195880) at layer 5 have been moved from (5520, 108800).
[WARNING PSM-0024] Instance PHY_1080, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1126080).
[WARNING PSM-0024] Instance PHY_1081, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1126080).
[WARNING PSM-0024] Instance PHY_1082, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1126080).
[WARNING PSM-0024] Instance PHY_1083, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1126080).
[WARNING PSM-0024] Instance PHY_1084, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1128800).
[WARNING PSM-0024] Instance PHY_1085, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1128800).
[WARNING PSM-0024] Instance PHY_1086, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1128800).
[WARNING PSM-0024] Instance PHY_1087, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1128800).
[WARNING PSM-0024] Instance PHY_1088, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1131520).
[WARNING PSM-0024] Instance PHY_1089, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1131520).
[WARNING PSM-0024] Instance PHY_109, current node at (550520, 195880) at layer 5 have been moved from (488520, 108800).
[WARNING PSM-0024] Instance PHY_1090, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1131520).
[WARNING PSM-0024] Instance PHY_1091, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1131520).
[WARNING PSM-0024] Instance PHY_1092, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1134240).
[WARNING PSM-0024] Instance PHY_1093, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1134240).
[WARNING PSM-0024] Instance PHY_1094, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1134240).
[WARNING PSM-0024] Instance PHY_1095, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1134240).
[WARNING PSM-0024] Instance PHY_1096, current node at (10520, 1095880) at layer 5 have been moved from (5520, 1136960).
[WARNING PSM-0024] Instance PHY_1097, current node at (550520, 1095880) at layer 5 have been moved from (488520, 1136960).
[WARNING PSM-0024] Instance PHY_1098, current node at (2350520, 1095880) at layer 5 have been moved from (2430180, 1136960).
[WARNING PSM-0024] Instance PHY_1099, current node at (2928100, 1095880) at layer 5 have been moved from (2912720, 1136960).
